Tipo Test, Tipo Config. Cassa, Num Cassieri, Giorno, IC Tempo Attesa, IC Slowdown, IC SD Tempo Att, IC Abbandoni, IC Arrivi, Lungh. Fila Tollerata, Num Simulazioni, alpha
6, sperimentale_60_20_20, 1, sabato, "[5.048911, 0.567855]", "[1.075393, 0.008560]", "[2388.511528, 1579.345042]", "[0.000000, 0.000000]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[4.468993, 0.331482]", "[1.067066, 0.005608]", "[3604.502635, 1033.725016]", "[0.000000, 0.000000]", "[3581.600000, 57.194755]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, lunedì, "[6.086285, 0.672530]", "[1.091201, 0.009881]", "[1545.513580, 1475.765345]", "[0.000000, 0.000000]", "[4116.500000, 66.169857]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, martedì, "[5.053925, 0.511531]", "[1.075621, 0.007849]", "[2360.624906, 1213.294639]", "[0.000000, 0.000000]", "[3967.100000, 69.249477]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, mercoledì, "[6.614565, 0.852255]", "[1.099054, 0.012838]", "[406.488840, 2471.384740]", "[0.000000, 0.000000]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[6.448546, 0.910876]", "[1.096649, 0.013743]", "[-2087.652284, 2984.494291]", "[0.100000, 0.300000]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[5.984024, 0.772424]", "[1.089582, 0.011767]", "[74.220967, 2799.182450]", "[0.000000, 0.000000]", "[4146.900000, 66.390436]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, sabato, "[5.048553, 0.567759]", "[1.075383, 0.008557]", "[2389.804627, 1579.003427]", "[0.000000, 0.000000]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[4.468713, 0.331407]", "[1.067058, 0.005608]", "[3604.109552, 1034.121250]", "[0.000000, 0.000000]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[284.137916, 11.919172]", "[6.833074, 0.140279]", "[198664.421332, 34422.079502]", "[627.600000, 58.691056]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[267.372245, 14.260441]", "[6.555443, 0.176390]", "[219838.720723, 39792.531684]", "[511.300000, 54.085211]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[296.281206, 14.119316]", "[7.002522, 0.183445]", "[189506.206251, 32925.765566]", "[687.900000, 53.307504]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[294.105958, 14.736905]", "[7.012028, 0.196363]", "[138998.298249, 33894.256049]", "[649.600000, 57.005614]", "[4173.500000, 67.225367]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, venerdì, "[289.147654, 15.018919]", "[6.942657, 0.176865]", "[164308.675369, 32647.520245]", "[610.500000, 53.134264]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[262.635793, 11.704929]", "[6.437681, 0.156738]", "[223333.288378, 37958.512604]", "[493.400000, 52.381676]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[233.473370, 16.802157]", "[5.833662, 0.203061]", "[244913.480883, 40812.391184]", "[393.700000, 40.452565]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[224.977506, 12.067964]", "[5.887993, 0.142436]", "[162387.874101, 33576.780831]", "[560.700000, 54.266104]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[217.358695, 13.046121]", "[5.766583, 0.145316]", "[181947.635198, 41366.341342]", "[474.600000, 50.766524]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[232.329941, 13.020144]", "[5.979702, 0.166129]", "[157952.081823, 34146.970238]", "[611.200000, 48.667854]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[233.743052, 14.561523]", "[6.048287, 0.184096]", "[126906.591823, 38301.690997]", "[583.500000, 50.406845]", "[4173.500000, 67.225367]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, venerdì, "[232.330113, 14.663661]", "[6.040675, 0.177289]", "[141250.336268, 35720.430361]", "[557.700000, 51.584978]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[213.516540, 11.786127]", "[5.662576, 0.146809]", "[185845.156752, 43053.582408]", "[457.100000, 48.695893]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[192.085283, 14.906480]", "[5.182042, 0.183645]", "[200693.837656, 41248.002573]", "[368.500000, 40.628192]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[136.789512, 2.920944]", "[5.159199, 0.088843]", "[66595.620122, 16774.392509]", "[511.700000, 48.664258]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[133.566345, 3.380293]", "[5.084030, 0.100156]", "[78363.927750, 19650.505092]", "[437.500000, 45.478017]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[138.906936, 3.391559]", "[5.206195, 0.108724]", "[63712.469176, 18688.570400]", "[556.900000, 42.795911]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[141.418701, 3.102105]", "[5.287603, 0.104396]", "[49255.617363, 15082.871101]", "[533.800000, 45.470430]", "[4173.500000, 67.225367]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, venerdì, "[140.713949, 3.291227]", "[5.288264, 0.100839]", "[56739.879601, 17729.345334]", "[513.300000, 45.380723]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[130.381323, 3.558906]", "[4.986921, 0.104226]", "[82627.548252, 21567.712714]", "[421.200000, 43.386173]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[116.816150, 3.351408]", "[4.577910, 0.109277]", "[95586.144694, 21545.506825]", "[343.000000, 36.433501]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[131.712173, 2.857796]", "[5.080244, 0.090652]", "[65003.741013, 16598.602957]", "[511.700000, 48.664258]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[129.482320, 3.219550]", "[5.020483, 0.099110]", "[76304.045068, 19580.620065]", "[437.500000, 45.478017]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[133.319303, 3.326175]", "[5.119428, 0.109790]", "[62932.792037, 18022.748438]", "[556.900000, 42.795911]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[135.925060, 3.231089]", "[5.202246, 0.109720]", "[50684.136808, 14355.882798]", "[533.700000, 45.426974]", "[4173.500000, 67.225367]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, venerdì, "[135.715976, 3.246768]", "[5.210732, 0.102042]", "[56454.946928, 16635.015565]", "[513.300000, 45.380723]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[126.324014, 3.452302]", "[4.923876, 0.103889]", "[80605.778387, 21569.426565]", "[421.200000, 43.386173]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[113.272657, 3.433004]", "[4.522736, 0.110854]", "[92654.537544, 21408.278355]", "[343.000000, 36.433501]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[13.005835, 1.425999]", "[1.318698, 0.048387]", "[5099.415452, 2925.154706]", "[0.400000, 0.663325]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[11.060318, 0.886395]", "[1.268389, 0.029696]", "[6226.837637, 2747.426471]", "[0.000000, 0.000000]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[14.028387, 1.548906]", "[1.344563, 0.052145]", "[2728.030239, 3545.732709]", "[0.300000, 0.640312]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[13.107531, 1.348120]", "[1.318066, 0.044572]", "[-405.075244, 3542.844641]", "[0.300000, 0.640312]", "[4173.500000, 67.225367]", 10, 10, 0.050000
